corpus,drama,figure_surface,figure_id,Gender,Age
shakedracor,LLL,Holofernes Pedant,Holofernes_LLL,,
shakedracor,LLL,Dull Constable,Dull_LLL,,
shakedracor,LLL,Princess,Princess_LLL,,
shakedracor,LLL,Katherine,Katherine_LLL,,
shakedracor,LLL,"Lords, Blackamoors, Musicians",LORDS.0_LLL,,
shakedracor,LLL,Jaquenetta Wench,Jaquenetta_LLL,,
shakedracor,LLL,Costard Clown Swain,Costard_LLL,,
shakedracor,LLL,Armado Braggart,Armado_LLL,,
shakedracor,LLL,King,King_LLL,,
shakedracor,LLL,Boyet,Boyet_LLL,,
shakedracor,LLL,Longaville,Longaville_LLL,,
shakedracor,LLL,Dumaine,Dumaine_LLL,,
shakedracor,LLL,Monsieur Marcade,Marcade_LLL,,
shakedracor,LLL,"Lords, Blackamoors, Musicians",Spring_LLL,,
shakedracor,LLL,Berowne,Berowne_LLL,,
shakedracor,LLL,Rosaline,Rosaline_LLL,,
shakedracor,LLL,"Lords, Blackamoors, Musicians",Winter_LLL,,
shakedracor,LLL,Forester,Forester_LLL,,
shakedracor,LLL,Maria,Maria_LLL,,
shakedracor,LLL,Boy Page Mote,Boy_LLL,,
shakedracor,LLL,Nathaniel Curate,Nathaniel_LLL,,
