corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
shakedracor,Ado,707,27183,0,719,20778,0
shakedracor,Ado,707,27183,0,20784,22641,0
shakedracor,Ado,707,27183,0,22647,27183,0
shakedracor,Ado,27191,72050,0,27203,51597,0
shakedracor,Ado,27191,72050,0,51603,55040,0
shakedracor,Ado,27191,72050,0,55046,72050,0
shakedracor,Ado,72058,108745,0,72070,79743,0
shakedracor,Ado,72058,108745,0,79749,87492,0
shakedracor,Ado,72058,108745,0,87498,98824,0
shakedracor,Ado,72058,108745,0,98830,104649,0
shakedracor,Ado,72058,108745,0,104655,108745,0
shakedracor,Ado,108753,135271,0,108765,129708,0
shakedracor,Ado,108753,135271,0,129714,135271,0
shakedracor,Ado,135279,174558,0,135291,157117,0
shakedracor,Ado,135279,174558,0,157123,163346,0
shakedracor,Ado,135279,174558,0,163352,165327,0
shakedracor,Ado,135279,174558,0,165333,174558,0
