corpus,drama,Entity.surface,Entity.id,Entity.group_members
shakedracor,WT,Leontes_WT,3,
shakedracor,WT,Polixenes_WT,2,
shakedracor,WT,Mamillius_WT,5,
shakedracor,WT,Dorcas_WT,27,
shakedracor,WT,ATTENDANTS.2_WT,33,
shakedracor,WT,LADIES.0.2_WT,7,
shakedracor,WT,ATTENDANTS.0.1_WT,8,
shakedracor,WT,ATTENDANTS.3_WT,34,
shakedracor,WT,Antigonus_WT,9,
shakedracor,WT,SERVANTS.X.2_WT,16,
shakedracor,WT,Camillo_WT,1,
shakedracor,WT,Chorus_WT,23,
shakedracor,WT,Perdita_WT,26,
shakedracor,WT,SERVANTS.SHEPHERD.1_WT,29,
shakedracor,WT,Autolycus_WT,24,
shakedracor,WT,ATTENDANTS.X_WT,31,
shakedracor,WT,Hermione_WT,4,
shakedracor,WT,Cleomenes_WT,17,
shakedracor,WT,LADIES.0.1_WT,6,
shakedracor,WT,SERVANTS.X.1_WT,13,
shakedracor,WT,Jailer_WT,11,
shakedracor,WT,Sailor_WT,20,
shakedracor,WT,Paulina_WT,10,
shakedracor,WT,Mopsa_WT,28,
shakedracor,WT,Archidamus_WT,0,
shakedracor,WT,Dion_WT,18,
shakedracor,WT,SERVANTS.X.3_WT,30,
shakedracor,WT,ATTENDANTS.1_WT,32,
shakedracor,WT,LADIES.Emilia_WT,12,
shakedracor,WT,SERVANTS.0_WT,14,
shakedracor,WT,Florizell_WT,25,
shakedracor,WT,OFFICERS.0.1_WT,19,
shakedracor,WT,ATTENDANTS_WT,15,
shakedracor,WT,Shepherd_WT,21,
shakedracor,WT,ShepherdsSon_WT,22,
