corpus,drama,Entity.surface,Entity.id,Entity.group_members
shakedracor,1H4,TRAVELERS.CARRIERS.1_1H4,9,
shakedracor,1H4,SERVANTS.HOTSPUR.1_1H4,20,
shakedracor,1H4,HenryIV_1H4,0,
shakedracor,1H4,Vernon_1H4,30,
shakedracor,1H4,Westmoreland_1H4,1,
shakedracor,1H4,TRAVELERS.CARRIERS_1H4,17,
shakedracor,1H4,Glendower_1H4,27,
shakedracor,1H4,Archbishop_1H4,31,
shakedracor,1H4,Northumberland_R2,6,
shakedracor,1H4,DRAWERS.Francis_1H4,21,
shakedracor,1H4,TRAVELERS.GENTLEMEN.0.1_1H4,16,
shakedracor,1H4,Worcester_1H4,5,
shakedracor,1H4,Bedford_H5,35,
shakedracor,1H4,Vintner_1H4,22,
shakedracor,1H4,HenryV_H5,3,
shakedracor,1H4,SirMichael_1H4,32,
shakedracor,1H4,Poins_1H4,4,
shakedracor,1H4,Falstaff_1H4,2,
shakedracor,1H4,Ostler_1H4,10,
shakedracor,1H4,TRAVELERS.CARRIERS.2_1H4,11,
shakedracor,1H4,Gadshill_1H4,12,
shakedracor,1H4,Sheriff_1H4,24,
shakedracor,1H4,MESSENGERS.2_1H4,34,
shakedracor,1H4,MESSENGERS.1_1H4,33,
shakedracor,1H4,TRAVELERS.CARRIERS.X_1H4,25,
shakedracor,1H4,Chamberlain_1H4,13,
shakedracor,1H4,Bardolph_1H4,14,
shakedracor,1H4,MistressQuickly_1H4,23,
shakedracor,1H4,LadyPercy_1H4,19,
shakedracor,1H4,MESSENGERS.X_1H4,29,
shakedracor,1H4,TRAVELERS.GENTLEMEN_1H4,18,
shakedracor,1H4,Mortimer_1H4,26,
shakedracor,1H4,Hotspur_R2,7,
shakedracor,1H4,Peto_1H4,15,
shakedracor,1H4,Douglas_1H4,28,
shakedracor,1H4,Blunt_1H4,8,
