corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
shakedracor,3H6,1361,42735,0,1373,21368,0
shakedracor,3H6,1361,42735,0,21374,26569,0
shakedracor,3H6,1361,42735,0,26575,30227,0
shakedracor,3H6,1361,42735,0,30233,42735,0
shakedracor,3H6,42743,90614,0,42755,56424,0
shakedracor,3H6,42743,90614,0,56430,68631,0
shakedracor,3H6,42743,90614,0,68637,72667,0
shakedracor,3H6,42743,90614,0,72673,73741,0
shakedracor,3H6,42743,90614,0,73747,83104,0
shakedracor,3H6,42743,90614,0,83110,90614,0
shakedracor,3H6,90622,130486,0,90634,97811,0
shakedracor,3H6,90622,130486,0,97817,112071,0
shakedracor,3H6,90622,130486,0,112077,130486,0
shakedracor,3H6,130494,170936,0,130506,140936,0
shakedracor,3H6,130494,170936,0,140942,142972,0
shakedracor,3H6,130494,170936,0,142978,148026,0
shakedracor,3H6,130494,170936,0,148032,150462,0
shakedracor,3H6,130494,170936,0,150468,152767,0
shakedracor,3H6,130494,170936,0,152773,159723,0
shakedracor,3H6,130494,170936,0,159729,166297,0
shakedracor,3H6,130494,170936,0,166303,170936,0
shakedracor,3H6,170944,208058,0,170956,180016,0
shakedracor,3H6,170944,208058,0,180023,183686,0
shakedracor,3H6,170944,208058,0,183692,185404,0
shakedracor,3H6,170944,208058,0,185410,191242,0
shakedracor,3H6,170944,208058,0,191249,198332,0
shakedracor,3H6,170944,208058,0,198338,204706,0
shakedracor,3H6,170944,208058,0,204712,208058,0
