corpus,drama,figure_surface,figure_id,Gender,Age
shakedracor,/othello,Desdemona,Desdemona_Oth,,
shakedracor,/othello,Lodovico,Lodovico_Oth,,
shakedracor,/othello,Cassio,Cassio_Oth,,
shakedracor,/othello,Roderigo,Roderigo_Oth,,
shakedracor,/othello,Othello,Othello_Oth,,
shakedracor,/othello,"Servants, Attendants, Officers, Messengers, Herald, Musicians, Torchbearers.",MUSICIANS.0.1_Oth,,
shakedracor,/othello,Emilia,Emilia_Oth,,
shakedracor,/othello,Gentlemen of Cyprus,GENTLEMEN_Oth,,
shakedracor,/othello,Sailors,Sailor_Oth,,
shakedracor,/othello,Iago,Iago_Oth,,
shakedracor,/othello,Brabantio,Brabantio_Oth,,
shakedracor,/othello,GENTLEMEN.1_Oth,GENTLEMEN.1_Oth,,
shakedracor,/othello,"Servants, Attendants, Officers, Messengers, Herald, Musicians, Torchbearers.",OFFICERS_Oth,,
shakedracor,/othello,SENATORS.0.2_Oth,SENATORS.0.2_Oth,,
shakedracor,/othello,"Servants, Attendants, Officers, Messengers, Herald, Musicians, Torchbearers.",Herald_Oth,,
shakedracor,/othello,GENTLEMEN.3_Oth,GENTLEMEN.3_Oth,,
shakedracor,/othello,Venetian senators,SENATORS_Oth,,
shakedracor,/othello,SENATORS.0.1_Oth,SENATORS.0.1_Oth,,
shakedracor,/othello,GENTLEMEN.0.1_Oth,GENTLEMEN.0.1_Oth,,
shakedracor,/othello,"Servants, Attendants, Officers, Messengers, Herald, Musicians, Torchbearers.",OFFICERS.0.1_Oth,,
shakedracor,/othello,Duke_Oth,Duke_Oth,,
shakedracor,/othello,Clown_Oth,Clown_Oth,,
shakedracor,/othello,Gratiano,Gratiano_Oth,,
shakedracor,/othello,GENTLEMEN.2_Oth,GENTLEMEN.2_Oth,,
shakedracor,/othello,Montano,Montano_Oth,,
shakedracor,/othello,"Servants, Attendants, Officers, Messengers, Herald, Musicians, Torchbearers.",MESSENGERS.X.2_Oth,,
shakedracor,/othello,"Servants, Attendants, Officers, Messengers, Herald, Musicians, Torchbearers.",MESSENGERS.X.1_Oth,,
shakedracor,/othello,Bianca,Bianca_Oth,,
