corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
shakedracor,Tim,868,37226,0,880,19747,0
shakedracor,Tim,868,37226,0,19753,37226,0
shakedracor,Tim,37234,55355,0,37246,39609,0
shakedracor,Tim,37234,55355,0,39615,55355,0
shakedracor,Tim,55363,91668,0,55375,59683,0
shakedracor,Tim,55363,91668,0,59689,65548,0
shakedracor,Tim,55363,91668,0,65554,68428,0
shakedracor,Tim,55363,91668,0,68434,76280,0
shakedracor,Tim,55363,91668,0,76286,83733,0
shakedracor,Tim,55363,91668,0,83739,91668,0
shakedracor,Tim,91676,133498,0,91688,94292,0
shakedracor,Tim,91676,133498,0,94298,97808,0
shakedracor,Tim,91676,133498,0,97814,133498,0
shakedracor,Tim,133506,156886,0,133518,148984,0
shakedracor,Tim,133506,156886,0,148990,150253,0
shakedracor,Tim,133506,156886,0,150259,151047,0
shakedracor,Tim,133506,156886,0,151053,156886,0
