corpus,drama,figure_surface,figure_id,Gender,Age
shakedracor,H8,Gardiner,Gardiner_H8,,
shakedracor,H8,"Spirits, Princess Elizabeth as an infant, Duchess of Norfolk, Marquess and Marchioness of Dorset, Lords, Nobles, Countesses, Bishops, Judges, Priests, Ladies, Gentlemen, Gentlemen Ushers, Lord Mayor, Four Representatives of the Cinque Ports, Aldermen, Women, Musicians, Choristers, Guards, Tipstaves, Halberds, Vergers, Attendants, Servants, Messenger, Pages, Footboys, Grooms",SERVANTS.LARDER.1_H8,,
shakedracor,H8,Duke of Buckingham,Buckingham_H8,,
shakedracor,H8,Epilogue,Epilogue_H8,,
shakedracor,H8,Lord Chamberlain,Chamberlain_H8,,
shakedracor,H8,Cardinal Campeius,Campeius_H8,,
shakedracor,H8,Capuchius,Capuchius_H8,,
shakedracor,H8,Sergeant at Arms,Sergeant_H8,,
shakedracor,H8,Sir Anthony Denny,Denny_H8,,
shakedracor,H8,Porter and his Man,Porter_H8,,
shakedracor,H8,"Spirits, Princess Elizabeth as an infant, Duchess of Norfolk, Marquess and Marchioness of Dorset, Lords, Nobles, Countesses, Bishops, Judges, Priests, Ladies, Gentlemen, Gentlemen Ushers, Lord Mayor, Four Representatives of the Cinque Ports, Aldermen, Women, Musicians, Choristers, Guards, Tipstaves, Halberds, Vergers, Attendants, Servants, Messenger, Pages, Footboys, Grooms",GENTLEMEN.X_H8,,
shakedracor,H8,First Gentleman,GENTLEMEN.1_H8,,
shakedracor,H8,Cromwell,Cromwell_H8,,
shakedracor,H8,Duke of Norfolk,Norfolk_H8,,
shakedracor,H8,Queen Katherine,Katherine_H8,,
shakedracor,H8,"Spirits, Princess Elizabeth as an infant, Duchess of Norfolk, Marquess and Marchioness of Dorset, Lords, Nobles, Countesses, Bishops, Judges, Priests, Ladies, Gentlemen, Gentlemen Ushers, Lord Mayor, Four Representatives of the Cinque Ports, Aldermen, Women, Musicians, Choristers, Guards, Tipstaves, Halberds, Vergers, Attendants, Servants, Messenger, Pages, Footboys, Grooms",SERVANTS.X.1_H8,,
shakedracor,H8,"Spirits, Princess Elizabeth as an infant, Duchess of Norfolk, Marquess and Marchioness of Dorset, Lords, Nobles, Countesses, Bishops, Judges, Priests, Ladies, Gentlemen, Gentlemen Ushers, Lord Mayor, Four Representatives of the Cinque Ports, Aldermen, Women, Musicians, Choristers, Guards, Tipstaves, Halberds, Vergers, Attendants, Servants, Messenger, Pages, Footboys, Grooms",LADIES.KATHERINE.0.1_H8,,
shakedracor,H8,Page to Gardiner,Page_H8,,
shakedracor,H8,Patience,LADIES.KATHERINE.Patience_H8,,
shakedracor,H8,Garter King of Arms,Garter_H8,,
shakedracor,H8,Anne Bullen,Anne_H8,,
shakedracor,H8,"Knevet, former Surveyor to Buckingham",Surveyor_H8,,
shakedracor,H8,Keeper,Keeper_H8,,
shakedracor,H8,SECRETARIES.0.1_H8,SECRETARIES.0.1_H8,,
shakedracor,H8,"Spirits, Princess Elizabeth as an infant, Duchess of Norfolk, Marquess and Marchioness of Dorset, Lords, Nobles, Countesses, Bishops, Judges, Priests, Ladies, Gentlemen, Gentlemen Ushers, Lord Mayor, Four Representatives of the Cinque Ports, Aldermen, Women, Musicians, Choristers, Guards, Tipstaves, Halberds, Vergers, Attendants, Servants, Messenger, Pages, Footboys, Grooms",Messenger_H8,,
shakedracor,H8,King Henry the Eighth,HenryVIII_H8,,
shakedracor,H8,Bishop of Lincoln,BishopOfLincoln_H8,,
shakedracor,H8,Old Lady,OldLady_H8,,
shakedracor,H8,Third Gentleman,GENTLEMEN.3_H8,,
shakedracor,H8,Lord Chancellor,Chancellor_H8,,
shakedracor,H8,Lord Abergavenny,Abergavenny_H8,,
shakedracor,H8,Sir Henry Guilford,Guilford_H8,,
shakedracor,H8,Queen’s Gentleman Usher,Usher_H8,,
shakedracor,H8,Sir Thomas Lovell,Lovell_H8,,
shakedracor,H8,Scribes,Scribe_H8,,
shakedracor,H8,Prologue,Prologue_H8,,
shakedracor,H8,Doctor Butts,Butts_H8,,
shakedracor,H8,Sir Nicholas Vaux,Vaux_H8,,
shakedracor,H8,Porter and his Man,SERVANTS.PORTER.1_H8,,
shakedracor,H8,Lord Sands (also Sir Walter Sands),Sands_H8,,
shakedracor,H8,Duke of Suffolk,Suffolk_H8,,
shakedracor,H8,Cranmer,Cranmer_H8,,
shakedracor,H8,Brandon,Brandon_H8,,
shakedracor,H8,Crier,Crier_H8,,
shakedracor,H8,Earl of Surrey,Surrey_H8,,
shakedracor,H8,Cardinal Wolsey,Wolsey_H8,,
shakedracor,H8,Second Gentleman,GENTLEMEN.2_H8,,
shakedracor,H8,Griffith,Griffith_H8,,
