corpus,drama,figure_surface,figure_id,Gender,Age
shakedracor,/henry-viii,Page to Gardiner,Page_H8,,
shakedracor,/henry-viii,Cardinal Campeius,Campeius_H8,,
shakedracor,/henry-viii,SECRETARIES.0.1_H8,SECRETARIES.0.1_H8,,
shakedracor,/henry-viii,"Spirits, Princess Elizabeth as an infant, Duchess of Norfolk, Marquess and Marchioness of Dorset, Lords, Nobles, Countesses, Bishops, Judges, Priests, Ladies, Gentlemen, Gentlemen Ushers, Lord Mayor, Four Representatives of the Cinque Ports, Aldermen, Women, Musicians, Choristers, Guards, Tipstaves, Halberds, Vergers, Attendants, Servants, Messenger, Pages, Footboys, Grooms",LADIES.KATHERINE.0.1_H8,,
shakedracor,/henry-viii,Third Gentleman,GENTLEMEN.3_H8,,
shakedracor,/henry-viii,Sir Henry Guilford,Guilford_H8,,
shakedracor,/henry-viii,Queen Katherine,Katherine_H8,,
shakedracor,/henry-viii,Cranmer,Cranmer_H8,,
shakedracor,/henry-viii,Epilogue,Epilogue_H8,,
shakedracor,/henry-viii,Prologue,Prologue_H8,,
shakedracor,/henry-viii,Cardinal Wolsey,Wolsey_H8,,
shakedracor,/henry-viii,Cromwell,Cromwell_H8,,
shakedracor,/henry-viii,Lord Sands (also Sir Walter Sands),Sands_H8,,
shakedracor,/henry-viii,"Spirits, Princess Elizabeth as an infant, Duchess of Norfolk, Marquess and Marchioness of Dorset, Lords, Nobles, Countesses, Bishops, Judges, Priests, Ladies, Gentlemen, Gentlemen Ushers, Lord Mayor, Four Representatives of the Cinque Ports, Aldermen, Women, Musicians, Choristers, Guards, Tipstaves, Halberds, Vergers, Attendants, Servants, Messenger, Pages, Footboys, Grooms",Messenger_H8,,
shakedracor,/henry-viii,Porter and his Man,Porter_H8,,
shakedracor,/henry-viii,Scribes,Scribe_H8,,
shakedracor,/henry-viii,Gardiner,Gardiner_H8,,
shakedracor,/henry-viii,Bishop of Lincoln,BishopOfLincoln_H8,,
shakedracor,/henry-viii,Old Lady,OldLady_H8,,
shakedracor,/henry-viii,Keeper,Keeper_H8,,
shakedracor,/henry-viii,"Spirits, Princess Elizabeth as an infant, Duchess of Norfolk, Marquess and Marchioness of Dorset, Lords, Nobles, Countesses, Bishops, Judges, Priests, Ladies, Gentlemen, Gentlemen Ushers, Lord Mayor, Four Representatives of the Cinque Ports, Aldermen, Women, Musicians, Choristers, Guards, Tipstaves, Halberds, Vergers, Attendants, Servants, Messenger, Pages, Footboys, Grooms",SERVANTS.X.1_H8,,
shakedracor,/henry-viii,Queen’s Gentleman Usher,Usher_H8,,
shakedracor,/henry-viii,Duke of Suffolk,Suffolk_H8,,
shakedracor,/henry-viii,Doctor Butts,Butts_H8,,
shakedracor,/henry-viii,Garter King of Arms,Garter_H8,,
shakedracor,/henry-viii,Patience,LADIES.KATHERINE.Patience_H8,,
shakedracor,/henry-viii,Lord Chamberlain,Chamberlain_H8,,
shakedracor,/henry-viii,"Spirits, Princess Elizabeth as an infant, Duchess of Norfolk, Marquess and Marchioness of Dorset, Lords, Nobles, Countesses, Bishops, Judges, Priests, Ladies, Gentlemen, Gentlemen Ushers, Lord Mayor, Four Representatives of the Cinque Ports, Aldermen, Women, Musicians, Choristers, Guards, Tipstaves, Halberds, Vergers, Attendants, Servants, Messenger, Pages, Footboys, Grooms",GENTLEMEN.X_H8,,
shakedracor,/henry-viii,Lord Chancellor,Chancellor_H8,,
shakedracor,/henry-viii,Sir Nicholas Vaux,Vaux_H8,,
shakedracor,/henry-viii,"Knevet, former Surveyor to Buckingham",Surveyor_H8,,
shakedracor,/henry-viii,Duke of Buckingham,Buckingham_H8,,
shakedracor,/henry-viii,Duke of Norfolk,Norfolk_H8,,
shakedracor,/henry-viii,Brandon,Brandon_H8,,
shakedracor,/henry-viii,Anne Bullen,Anne_H8,,
shakedracor,/henry-viii,King Henry the Eighth,HenryVIII_H8,,
shakedracor,/henry-viii,First Gentleman,GENTLEMEN.1_H8,,
shakedracor,/henry-viii,Second Gentleman,GENTLEMEN.2_H8,,
shakedracor,/henry-viii,"Spirits, Princess Elizabeth as an infant, Duchess of Norfolk, Marquess and Marchioness of Dorset, Lords, Nobles, Countesses, Bishops, Judges, Priests, Ladies, Gentlemen, Gentlemen Ushers, Lord Mayor, Four Representatives of the Cinque Ports, Aldermen, Women, Musicians, Choristers, Guards, Tipstaves, Halberds, Vergers, Attendants, Servants, Messenger, Pages, Footboys, Grooms",SERVANTS.LARDER.1_H8,,
shakedracor,/henry-viii,Capuchius,Capuchius_H8,,
shakedracor,/henry-viii,Sir Anthony Denny,Denny_H8,,
shakedracor,/henry-viii,Sir Thomas Lovell,Lovell_H8,,
shakedracor,/henry-viii,Griffith,Griffith_H8,,
shakedracor,/henry-viii,Lord Abergavenny,Abergavenny_H8,,
shakedracor,/henry-viii,Sergeant at Arms,Sergeant_H8,,
shakedracor,/henry-viii,Crier,Crier_H8,,
shakedracor,/henry-viii,Porter and his Man,SERVANTS.PORTER.1_H8,,
shakedracor,/henry-viii,Earl of Surrey,Surrey_H8,,
