corpus,drama,Entity.surface,Entity.id,Entity.group_members
shakedracor,MM,Juliet_MM,17,
shakedracor,MM,Mariana_MM,19,
shakedracor,MM,Angelo_MM,2,
shakedracor,MM,Froth_MM,14,
shakedracor,MM,Isabella_MM,11,
shakedracor,MM,FriarThomas_MM,10,
shakedracor,MM,Elbow_MM,13,
shakedracor,MM,Pompey_MM,7,
shakedracor,MM,Duke_MM,0,
shakedracor,MM,Nun_MM,12,
shakedracor,MM,Lucio_MM,3,
shakedracor,MM,Bawd_MM,6,
shakedracor,MM,GENTLEMEN.1_MM,4,
shakedracor,MM,SERVANTS.1_MM,16,
shakedracor,MM,Provost_MM,9,
shakedracor,MM,GENTLEMEN.2_MM,5,
shakedracor,MM,Barnardine_MM,22,
shakedracor,MM,FriarPeter_MM,23,
shakedracor,MM,Boy_MM,18,
shakedracor,MM,Escalus_MM,1,
shakedracor,MM,Messenger_MM,21,
shakedracor,MM,Claudio_MM,8,
shakedracor,MM,Abhorson_MM,20,
shakedracor,MM,Justice_MM,15,
