corpus,drama,Entity.surface,Entity.id,Entity.group_members
shakedracor,R3,Catesby_R3,13,
shakedracor,R3,Vaughan_R3,33,
shakedracor,R3,Stanley_R3,10,
shakedracor,R3,SirJohn_R3,32,
shakedracor,R3,Norfolk_R3,53,
shakedracor,R3,MESSENGERS.X.3_R3,58,
shakedracor,R3,Ratcliffe_R3,34,
shakedracor,R3,ClarencesBoy_R3,18,
shakedracor,R3,ATTENDANTS.0.1_R3,40,
shakedracor,R3,Cardinal_R3,29,
shakedracor,R3,Lovell_R3,36,
shakedracor,R3,MURDERERS.1_R3,14,
shakedracor,R3,Surrey_R3,52,
shakedracor,R3,Hastings_3H6,3,
shakedracor,R3,GENTLEMEN.0.1_R3,5,
shakedracor,R3,Rivers_3H6,6,
shakedracor,R3,York_R3,25,
shakedracor,R3,MESSENGERS.3_R3,44,
shakedracor,R3,Clarence_3H6,1,
shakedracor,R3,QueenElizabeth_3H6,8,
shakedracor,R3,Jailer_R3,16,
shakedracor,R3,EdwardIV_3H6,17,
shakedracor,R3,QueenMargaret_1H6,11,
shakedracor,R3,PrinceEdward_3H6,54,
shakedracor,R3,Blunt_R3,51,
shakedracor,R3,ATTENDANTS.RICHMOND_R3,56,
shakedracor,R3,Oxford_3H6,49,
shakedracor,R3,Grey_R3,7,
shakedracor,R3,Dorset_R3,12,
shakedracor,R3,MESSENGERS.X.1_R3,26,
shakedracor,R3,ATTENDANTS.RICHMOND.0.1_R3,57,
shakedracor,R3,DuchessOfYork_R3,19,
shakedracor,R3,MESSENGERS.2_R3,43,
shakedracor,R3,Pursuivant_R3,31,
shakedracor,R3,MESSENGERS.1_R3,42,
shakedracor,R3,CITIZENS_R3,39,
shakedracor,R3,Sheriff_R3,47,
shakedracor,R3,ClarencesDaughter_R3,20,
shakedracor,R3,EdwardV_R3,27,
shakedracor,R3,MayorOfLondon_R3,28,
shakedracor,R3,HenryVI_1H6,55,
shakedracor,R3,HenryVII_R3,48,
shakedracor,R3,Herbert_R3,50,
shakedracor,R3,Buckingham_R3,9,
shakedracor,R3,CITIZENS.2_R3,22,
shakedracor,R3,Archbishop_R3,24,
shakedracor,R3,BISHOPS_R3,38,
shakedracor,R3,RichardIII_R3,0,
shakedracor,R3,LadyAnne_R3,4,
shakedracor,R3,MESSENGERS.X.2_R3,30,
shakedracor,R3,SirChristopher_R3,46,
shakedracor,R3,CITIZENS.3_R3,23,
shakedracor,R3,MURDERERS.2_R3,15,
shakedracor,R3,Tyrrel_R3,41,
shakedracor,R3,MESSENGERS.4_R3,45,
shakedracor,R3,CITIZENS.1_R3,21,
shakedracor,R3,Brakenbury_R3,2,
shakedracor,R3,BishopOfEly_R3,35,
shakedracor,R3,Scrivener_R3,37,
