corpus,drama,figure_surface,figure_id,Gender,Age
shakedracor,/hamlet,courtiers at the Danish court,ATTENDANTS.1_Ham,,
shakedracor,/hamlet,PLAYERS.0.1_Ham,PLAYERS.0.1_Ham,,
shakedracor,/hamlet,The Ghost,Ghost_Ham,,
shakedracor,/hamlet,"Attendants, Lords, Guards, Musicians, Laertes’s Followers, Soldiers, Officers",ATTENDANTS.GUARDS_Ham,,
shakedracor,/hamlet,Voltemand,Voltemand_Ham,,
shakedracor,/hamlet,MESSENGERS.2_Ham,MESSENGERS.2_Ham,,
shakedracor,/hamlet,Ambassadors to Denmark from England,AMBASSADORS_Ham,,
shakedracor,/hamlet,SOLDIERS.FORTINBRAS.Captain_Ham,SOLDIERS.FORTINBRAS.Captain_Ham,,
shakedracor,/hamlet,Horatio,Horatio_Ham,,
shakedracor,/hamlet,Barnardo,Barnardo_Ham,,
shakedracor,/hamlet,courtiers at the Danish court,ATTENDANTS.2_Ham,,
shakedracor,/hamlet,Laertes,Laertes_Ham,,
shakedracor,/hamlet,Francisco,Francisco_Ham,,
shakedracor,/hamlet,Marcellus,Marcellus_Ham,,
shakedracor,/hamlet,Osric,Osric_Ham,,
shakedracor,/hamlet,MESSENGERS.1_Ham,MESSENGERS.1_Ham,,
shakedracor,/hamlet,SAILORS.0.1_Ham,SAILORS.0.1_Ham,,
shakedracor,/hamlet,"Attendants, Lords, Guards, Musicians, Laertes’s Followers, Soldiers, Officers",FOLLOWERS.LAERTES_Ham,,
shakedracor,/hamlet,Polonius,Polonius_Ham,,
shakedracor,/hamlet,Ophelia,Ophelia_Ham,,
shakedracor,/hamlet,"Attendants, Lords, Guards, Musicians, Laertes’s Followers, Soldiers, Officers",ATTENDANTS_Ham,,
shakedracor,/hamlet,Doctor_Ham,Doctor_Ham,,
shakedracor,/hamlet,King Claudius,Claudius_Ham,,
shakedracor,/hamlet,Guildenstern,Guildenstern_Ham,,
shakedracor,/hamlet,GravediggersCompanion_Ham,GravediggersCompanion_Ham,,
shakedracor,/hamlet,Reynaldo,Reynaldo_Ham,,
shakedracor,/hamlet,Queen Gertrude,Gertrude_Ham,,
shakedracor,/hamlet,Cornelius,Cornelius_Ham,,
shakedracor,/hamlet,PLAYERS.King_Ham,PLAYERS.King_Ham,,
shakedracor,/hamlet,PLAYERS.Prologue_Ham,PLAYERS.Prologue_Ham,,
shakedracor,/hamlet,"Attendants, Lords, Guards, Musicians, Laertes’s Followers, Soldiers, Officers",ATTENDANTS.0.1_Ham,,
shakedracor,/hamlet,Gravedigger_Ham,Gravedigger_Ham,,
shakedracor,/hamlet,PLAYERS.1_Ham,PLAYERS.1_Ham,,
shakedracor,/hamlet,Rosencrantz,Rosencrantz_Ham,,
shakedracor,/hamlet,Hamlet,Hamlet_Ham,,
shakedracor,/hamlet,Fortinbras,Fortinbras_Ham,,
shakedracor,/hamlet,PLAYERS.Queen_Ham,PLAYERS.Queen_Ham,,
shakedracor,/hamlet,PLAYERS.Lucianus_Ham,PLAYERS.Lucianus_Ham,,
