corpus,drama,figure_surface,figure_id,Gender,Age
shakedracor,/twelfth-night,Priest,Priest_TN,,
shakedracor,/twelfth-night,OFFICERS.1_TN,OFFICERS.1_TN,,
shakedracor,/twelfth-night,Fabian,Fabian_TN,,
shakedracor,/twelfth-night,Sir Toby Belch,TobyBelch_TN,,
shakedracor,/twelfth-night,Orsino,Orsino_TN,,
shakedracor,/twelfth-night,OFFICERS.2_TN,OFFICERS.2_TN,,
shakedracor,/twelfth-night,Captain,Captain_TN,,
shakedracor,/twelfth-night,Fool,Feste_TN,,
shakedracor,/twelfth-night,Malvolio,Malvolio_TN,,
shakedracor,/twelfth-night,Olivia,Olivia_TN,,
shakedracor,/twelfth-night,Valentine,ATTENDANTS.ORSINO.Valentine_TN,,
shakedracor,/twelfth-night,Sebastian,Sebastian_TN,,
shakedracor,/twelfth-night,Sir Andrew Aguecheek,AndrewAguecheek_TN,,
shakedracor,/twelfth-night,Antonio,Antonio_TN,,
shakedracor,/twelfth-night,"Lords, Sailors, Musicians, and other Attendants",ATTENDANTS.OLIVIA.1_TN,,
shakedracor,/twelfth-night,Curio,ATTENDANTS.ORSINO.Curio_TN,,
shakedracor,/twelfth-night,Viola Cesario,Viola_TN,,
shakedracor,/twelfth-night,Maria,Maria_TN,,
