corpus,drama,Entity.surface,Entity.id,Entity.group_members
shakedracor,/the-taming-of-the-shrew,PLAYERS_Shr,7,
shakedracor,/the-taming-of-the-shrew,HUNTSMEN.0.1_Shr,3,
shakedracor,/the-taming-of-the-shrew,Hortensio_Shr,20,
shakedracor,/the-taming-of-the-shrew,SERVANTS.BAPTISTA.1_Shr,25,
shakedracor,/the-taming-of-the-shrew,Tailor_Shr,35,
shakedracor,/the-taming-of-the-shrew,SERVANTS.PETRUCHIO.Joseph_Shr,29,
shakedracor,/the-taming-of-the-shrew,Hostess_Shr,1,
shakedracor,/the-taming-of-the-shrew,HUNTSMEN.0.2_Shr,4,
shakedracor,/the-taming-of-the-shrew,Petruchio_Shr,23,
shakedracor,/the-taming-of-the-shrew,PLAYERS.0.2_Shr,9,
shakedracor,/the-taming-of-the-shrew,Biondello_Shr,22,
shakedracor,/the-taming-of-the-shrew,SERVANTS.PETRUCHIO.Phillip_Shr,28,
shakedracor,/the-taming-of-the-shrew,Grumio_Shr,24,
shakedracor,/the-taming-of-the-shrew,Baptista_Shr,17,
shakedracor,/the-taming-of-the-shrew,SERVANTS.LORD.0.1_Shr,6,
shakedracor,/the-taming-of-the-shrew,Page_Shr,13,
shakedracor,/the-taming-of-the-shrew,HUNTSMEN.0.3_Shr,5,
shakedracor,/the-taming-of-the-shrew,Sly_Shr,0,
shakedracor,/the-taming-of-the-shrew,Bianca_Shr,21,
shakedracor,/the-taming-of-the-shrew,Widow_Shr,37,
shakedracor,/the-taming-of-the-shrew,Haberdasher_Shr,34,
shakedracor,/the-taming-of-the-shrew,SERVANTS.PETRUCHIO.Nathaniel_Shr,27,
shakedracor,/the-taming-of-the-shrew,Curtis_Shr,26,
shakedracor,/the-taming-of-the-shrew,Merchant_Shr,33,
shakedracor,/the-taming-of-the-shrew,SERVANTS.LORD.0.2_Shr,10,
shakedracor,/the-taming-of-the-shrew,Gremio_Shr,18,
shakedracor,/the-taming-of-the-shrew,Lord_Shr,2,
shakedracor,/the-taming-of-the-shrew,SERVANTS.PETRUCHIO.Nicholas_Shr,30,
shakedracor,/the-taming-of-the-shrew,PLAYERS.0.1_Shr,8,
shakedracor,/the-taming-of-the-shrew,Lucentio_Shr,15,
shakedracor,/the-taming-of-the-shrew,SERVANTS.PETRUCHIO.0.4_Shr,32,
shakedracor,/the-taming-of-the-shrew,Tranio_Shr,16,
shakedracor,/the-taming-of-the-shrew,Katherine_Shr,19,
shakedracor,/the-taming-of-the-shrew,SERVANTS.PETRUCHIO.Peter_Shr,31,
shakedracor,/the-taming-of-the-shrew,Vincentio_Shr,36,
shakedracor,/the-taming-of-the-shrew,SERVANTS.LORD.0.3_Shr,11,
shakedracor,/the-taming-of-the-shrew,Messenger_Shr,14,
shakedracor,/the-taming-of-the-shrew,SERVANTS.LORD_Shr,12,
