corpus,drama,Entity.surface,Entity.id,Entity.group_members
shakedracor,/two-gentlemen-of-verona,Antonio_TGV,5,
shakedracor,/two-gentlemen-of-verona,Lance_TGV,8,
shakedracor,/two-gentlemen-of-verona,Pantino_TGV,6,
shakedracor,/two-gentlemen-of-verona,OUTLAWS.3_TGV,14,
shakedracor,/two-gentlemen-of-verona,OUTLAWS.1_TGV,12,
shakedracor,/two-gentlemen-of-verona,SERVANTS.1_TGV,11,
shakedracor,/two-gentlemen-of-verona,Eglamour_TGV,16,
shakedracor,/two-gentlemen-of-verona,Thurio_TGV,9,
shakedracor,/two-gentlemen-of-verona,OUTLAWS.2_TGV,13,
shakedracor,/two-gentlemen-of-verona,Valentine_TGV,0,
shakedracor,/two-gentlemen-of-verona,Host_TGV,15,
shakedracor,/two-gentlemen-of-verona,Duke_TGV,10,
shakedracor,/two-gentlemen-of-verona,Julia_TGV,3,
shakedracor,/two-gentlemen-of-verona,Proteus_TGV,1,
shakedracor,/two-gentlemen-of-verona,Speed_TGV,2,
shakedracor,/two-gentlemen-of-verona,Lucetta_TGV,4,
shakedracor,/two-gentlemen-of-verona,Sylvia_TGV,7,
