corpus,drama,figure_surface,figure_id,Gender,Age
shakedracor,Tro,Ajax,Ajax_Tro,,
shakedracor,Tro,Hector,Hector_Tro,,
shakedracor,Tro,Thersites,Thersites_Tro,,
shakedracor,Tro,Deiphobus,Deiphobus_Tro,,
shakedracor,Tro,Helenus,Helenus_Tro,,
shakedracor,Tro,Achilles,Achilles_Tro,,
shakedracor,Tro,Antenor,Antenor_Tro,,
shakedracor,Tro,Helen,Helen_Tro,,
shakedracor,Tro,Troilus’s Boy,Boy_Tro,,
shakedracor,Tro,Cassandra,Cassandra_Tro,,
shakedracor,Tro,Paris,Paris_Tro,,
shakedracor,Tro,Pandarus,Pandarus_Tro,,
shakedracor,Tro,Menelaus,Menelaus_Tro,,
shakedracor,Tro,Priam,Priam_Tro,,
shakedracor,Tro,Diomedes’ Servingman,SERVANTS.DIOMEDES.1_Tro,,
shakedracor,Tro,Andromache,Andromache_Tro,,
shakedracor,Tro,Prologue,Prologue_Tro,,
shakedracor,Tro,Alexander,Alexander_Tro,,
shakedracor,Tro,Paris’s Servingman,SERVANTS.PARIS.1_Tro,,
shakedracor,Tro,"Other Trojans and Greeks, Common Soldiers of Troy and Greece, Trumpeters, Attendants, Torchbearers",SOLDIERS.TROJAN_Tro,,
shakedracor,Tro,Ulysses,Ulysses_Tro,,
shakedracor,Tro,Calchas,Calchas_Tro,,
shakedracor,Tro,Agamemnon,Agamemnon_Tro,,
shakedracor,Tro,Nestor,Nestor_Tro,,
shakedracor,Tro,Bastard,Bastard_Tro,,
shakedracor,Tro,Diomedes,Diomedes_Tro,,
shakedracor,Tro,Aeneas,Aeneas_Tro,,
shakedracor,Tro,Cressida,Cressida_Tro,,
shakedracor,Tro,Troilus,Troilus_Tro,,
shakedracor,Tro,Patroclus,Patroclus_Tro,,
shakedracor,Tro,"Other Trojans and Greeks, Common Soldiers of Troy and Greece, Trumpeters, Attendants, Torchbearers",ATTENDANTS.GREEK_Tro,,
shakedracor,Tro,Troilus’s Man,SERVANTS.TROILUS.1_Tro,,
shakedracor,Tro,"Other Trojans and Greeks, Common Soldiers of Troy and Greece, Trumpeters, Attendants, Torchbearers",SOLDIERS_Tro,,
shakedracor,Tro,MYRMIDONS.0.1_Tro,MYRMIDONS.0.1_Tro,,
