corpus,drama,figure_surface,figure_id,Gender,Age
shakedracor,/macbeth,WITCHES.2_Mac,WITCHES.2_Mac,,
shakedracor,/macbeth,Ross,Ross_Mac,,
shakedracor,/macbeth,Macduff,Macduff_Mac,,
shakedracor,/macbeth,Porter_Mac,Porter_Mac,,
shakedracor,/macbeth,"Three Messengers, Three Servants, a Lord, a Soldier",SERVANTS.X.3_Mac,,
shakedracor,/macbeth,"Attendants, a Sewer, Servants, Lords, Thanes, Soldiers (all nonspeaking)",SOLDIERS.MALCOLM_Mac,,
shakedracor,/macbeth,Fleance,Fleance_Mac,,
shakedracor,/macbeth,OldMan_Mac,OldMan_Mac,,
shakedracor,/macbeth,Caithness,Caithness_Mac,,
shakedracor,/macbeth,"Three Messengers, Three Servants, a Lord, a Soldier",SERVANTS.X.4_Mac,,
shakedracor,/macbeth,MacduffsSon_Mac,MacduffsSon_Mac,,
shakedracor,/macbeth,Young Siward,YoungSiward_Mac,,
shakedracor,/macbeth,WITCHES.1_Mac,WITCHES.1_Mac,,
shakedracor,/macbeth,Lady Macbeth,LadyMacbeth_Mac,,
shakedracor,/macbeth,Lady Macduff,LadyMacduff_Mac,,
shakedracor,/macbeth,Donalbain,Donalbain_Mac,,
shakedracor,/macbeth,both attending upon Lady Macbeth,Gentlewoman_Mac,,
shakedracor,/macbeth,Lennox,Lennox_Mac,,
shakedracor,/macbeth,"Three Messengers, Three Servants, a Lord, a Soldier",MESSENGERS.2_Mac,,
shakedracor,/macbeth,"Three Messengers, Three Servants, a Lord, a Soldier",MESSENGERS.3_Mac,,
shakedracor,/macbeth,MURDERERS.1_Mac,MURDERERS.1_Mac,,
shakedracor,/macbeth,Angus,Angus_Mac,,
shakedracor,/macbeth,SPIRITS.1_Mac,SPIRITS.1_Mac,,
shakedracor,/macbeth,"Three Messengers, Three Servants, a Lord, a Soldier",SOLDIERS.MALCOLM.0.1_Mac,,
shakedracor,/macbeth,both attending upon Lady Macbeth,Doctor2_Mac,,
shakedracor,/macbeth,Hecate,Hecate_Mac,,
shakedracor,/macbeth,Macbeth,Macbeth_Mac,,
shakedracor,/macbeth,Siward,Siward_Mac,,
shakedracor,/macbeth,Menteith,Menteith_Mac,,
shakedracor,/macbeth,"Three Messengers, Three Servants, a Lord, a Soldier",MESSENGERS.1_Mac,,
shakedracor,/macbeth,MURDERERS.0.1_Mac,MURDERERS.0.1_Mac,,
shakedracor,/macbeth,SPIRITS.2_Mac,SPIRITS.2_Mac,,
shakedracor,/macbeth,"Attendants, a Sewer, Servants, Lords, Thanes, Soldiers (all nonspeaking)",ATTENDANTS_Mac,,
shakedracor,/macbeth,Malcolm,Malcolm_Mac,,
shakedracor,/macbeth,Banquo,Banquo_Mac,,
shakedracor,/macbeth,MURDERERS.3_Mac,MURDERERS.3_Mac,,
shakedracor,/macbeth,MURDERERS.2_Mac,MURDERERS.2_Mac,,
shakedracor,/macbeth,Duncan,Duncan_Mac,,
shakedracor,/macbeth,Seyton,Seyton_Mac,,
shakedracor,/macbeth,WITCHES.3_Mac,WITCHES.3_Mac,,
shakedracor,/macbeth,"Three Messengers, Three Servants, a Lord, a Soldier",SERVANTS.X.2_Mac,,
shakedracor,/macbeth,Doctor1_Mac,Doctor1_Mac,,
shakedracor,/macbeth,SPIRITS.3_Mac,SPIRITS.3_Mac,,
shakedracor,/macbeth,SOLDIERS.Captain_Mac,SOLDIERS.Captain_Mac,,
shakedracor,/macbeth,"Three Messengers, Three Servants, a Lord, a Soldier",Lord_Mac,,
