corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
shakedracor,/macbeth,953,33080,0,965,1722,0
shakedracor,/macbeth,953,33080,0,1728,6177,0
shakedracor,/macbeth,953,33080,0,6183,16137,0
shakedracor,/macbeth,953,33080,0,16143,20024,0
shakedracor,/macbeth,953,33080,0,20030,25078,0
shakedracor,/macbeth,953,33080,0,25084,27414,0
shakedracor,/macbeth,953,33080,0,27420,33080,0
shakedracor,/macbeth,33088,56442,0,33100,37606,0
shakedracor,/macbeth,33088,56442,0,37612,43059,0
shakedracor,/macbeth,33088,56442,0,43065,53476,0
shakedracor,/macbeth,33088,56442,0,53482,56442,0
shakedracor,/macbeth,56450,87743,0,56462,65990,0
shakedracor,/macbeth,56450,87743,0,65996,69813,0
shakedracor,/macbeth,56450,87743,0,69819,71825,0
shakedracor,/macbeth,56450,87743,0,71831,82334,0
shakedracor,/macbeth,56450,87743,0,82340,84469,0
shakedracor,/macbeth,56450,87743,0,84475,87743,0
shakedracor,/macbeth,87751,119630,0,87763,97906,0
shakedracor,/macbeth,87751,119630,0,97912,103755,0
shakedracor,/macbeth,87751,119630,0,103761,119630,0
shakedracor,/macbeth,119638,144906,0,119650,124678,0
shakedracor,/macbeth,119638,144906,0,124684,126841,0
shakedracor,/macbeth,119638,144906,0,126847,131148,0
shakedracor,/macbeth,119638,144906,0,131154,132773,0
shakedracor,/macbeth,119638,144906,0,132779,136297,0
shakedracor,/macbeth,119638,144906,0,136303,137135,0
shakedracor,/macbeth,119638,144906,0,137142,139441,0
shakedracor,/macbeth,119638,144906,0,139448,144906,0
