corpus,drama,Entity.surface,Entity.id,Entity.group_members
shakedracor,2H4,Epilogue_2H4,49,
shakedracor,2H4,Clarence_2H4,43,
shakedracor,2H4,BEADLES.0.1_2H4,46,
shakedracor,2H4,MESSENGERS.Gower_2H4,16,
shakedracor,2H4,DRAWERS.Will_2H4,24,
shakedracor,2H4,Warwick_2H4,30,
shakedracor,2H4,Wart_2H4,35,
shakedracor,2H4,MistressQuickly_1H4,13,
shakedracor,2H4,Travers_2H4,4,
shakedracor,2H4,Hastings_2H4,12,
shakedracor,2H4,DollTearsheet_2H4,25,
shakedracor,2H4,Shallow_2H4,31,
shakedracor,2H4,DRAWERS.Francis_1H4,22,
shakedracor,2H4,OFFICERS.Fang_2H4,14,
shakedracor,2H4,DRAWERS.X_2H4,26,
shakedracor,2H4,SERVANTS.CHIEFJUSTICE.1_2H4,9,
shakedracor,2H4,Westmoreland_1H4,39,
shakedracor,2H4,Chorus_2H4,0,
shakedracor,2H4,LadyPercy_1H4,21,
shakedracor,2H4,Silence_2H4,32,
shakedracor,2H4,Falstaff_1H4,6,
shakedracor,2H4,Morton_2H4,5,
shakedracor,2H4,Shadow_2H4,34,
shakedracor,2H4,GROOMS.1_2H4,47,
shakedracor,2H4,Gloucester_2H4,42,
shakedracor,2H4,HenryV_H5,17,
shakedracor,2H4,OFFICERS.Snare_2H4,15,
shakedracor,2H4,Porter_2H4,2,
shakedracor,2H4,ChiefJustice_2H4,8,
shakedracor,2H4,Bedford_H5,40,
shakedracor,2H4,SERVANTS.FALSTAFF.1_2H4,7,
shakedracor,2H4,Davy_2H4,45,
shakedracor,2H4,Harcourt_2H4,44,
shakedracor,2H4,Mouldy_2H4,33,
shakedracor,2H4,Bardolph_1H4,19,
shakedracor,2H4,Northumberland_R2,3,
shakedracor,2H4,Colevile_2H4,41,
shakedracor,2H4,LadyNorthumberland_2H4,20,
shakedracor,2H4,LordBardolph_2H4,1,
shakedracor,2H4,Peto_1H4,28,
shakedracor,2H4,Pistol_2H4,27,
shakedracor,2H4,MESSENGERS.1_2H4,38,
shakedracor,2H4,Bullcalf_2H4,37,
shakedracor,2H4,Poins_1H4,18,
shakedracor,2H4,Feeble_2H4,36,
shakedracor,2H4,Mowbray_2H4,11,
shakedracor,2H4,Archbishop_1H4,10,
shakedracor,2H4,GROOMS.2_2H4,48,
shakedracor,2H4,DRAWERS.1_2H4,23,
shakedracor,2H4,HenryIV_1H4,29,
